2,1
2,3
4,5
6,7
8,9
8,10
12,13
16,17
18,19
30,68
31,69
32,31
32,33
33,70
34,71
35,34
35,36
36,71
37,72
38,37
38,39
39,72
40,39
40,41
41,73
42,41
42,43
43,74
44,74
45,44
45,46
46,75
47,46
47,48
48,76
49,48
49,50
50,76
51,50
51,52
52,76
53,52
53,54
54,77
55,77
56,55
56,57
57,77
59,58
59,60
61,60
61,62
63,62
63,64
66,65
66,67
90,128
91,129
92,91
92,93
93,130
94,131
95,94
95,96
96,131
97,132
98,97
98,99
99,132
100,99
100,101
101,133
102,101
102,103
103,134
104,134
105,104
105,106
106,135
107,106
107,108
108,136
109,108
109,110
110,136
111,110
111,112
112,136
113,112
113,114
114,137
115,137
116,115
116,117
117,137
119,118
119,120
121,120
121,122
123,122
123,124
126,125
126,127
151,150
151,152
154,153
154,155
157,156
157,158
160,159
160,161
163,162
163,164
166,165
166,167
169,168
169,170
191,190
191,192
194,193
194,195
197,196
197,198
200,199
200,201
203,202
203,204
206,205
206,207
209,208
209,210
235,234
235,236
237,236
237,238
276,275
276,277
